d,t,uid
0,0,3568
0,1,3680
0,2,3443
0,3,3174
0,4,3012
0,5,3014
0,6,2968
0,7,2914
0,8,2965
0,9,3148
0,10,3462
0,11,3964
0,12,4648
0,13,5332
0,14,6248
0,15,7031
0,16,7692
0,17,8326
0,18,8782
0,19,9110
0,20,9491
0,21,9670
0,22,9913
0,23,10326
0,24,10299
0,25,10121
0,26,9801
0,27,9627
0,28,9491
0,29,9518
0,30,9450
0,31,9547
0,32,9833
0,33,9955
0,34,9949
0,35,9705
0,36,9653
0,37,9059
0,38,8377
0,39,7691
0,40,7132
0,41,6690
0,42,6390
0,43,5854
0,44,5494
0,45,5023
0,46,4576
0,47,4012
1,0,3165
1,1,3179
1,2,3065
1,3,2885
1,4,2839
1,5,2804
1,6,2768
1,7,2798
1,8,2942
1,9,3226
1,10,3768
1,11,4678
1,12,5804
1,13,6977
1,14,8275
1,15,8876
1,16,9250
1,17,9470
1,18,9648
1,19,9788
1,20,10125
1,21,10300
1,22,10339
1,23,10444
1,24,10846
1,25,10327
1,26,10409
1,27,10060
1,28,9971
1,29,9874
1,30,10150
1,31,10218
1,32,10253
1,33,10329
1,34,10712
1,35,10661
1,36,10322
1,37,9680
1,38,8754
1,39,7867
1,40,7213
1,41,6636
1,42,6191
1,43,5641
1,44,5331
1,45,4897
1,46,4422
1,47,4002
2,0,3157
2,1,3288
2,2,3255
2,3,3080
2,4,3038
2,5,3031
2,6,2972
2,7,3019
2,8,3190
2,9,3595
2,10,4259
2,11,5527
2,12,7353
2,13,9455
2,14,11632
2,15,13075
2,16,13145
2,17,12346
2,18,11665
2,19,11593
2,20,11543
2,21,11574
2,22,11468
2,23,11655
2,24,12449
2,25,11965
2,26,12018
2,27,11600
2,28,11372
2,29,11490
2,30,11831
2,31,11849
2,32,11968
2,33,11945
2,34,12626
2,35,12579
2,36,12358
2,37,11486
2,38,10594
2,39,9599
2,40,8678
2,41,7904
2,42,7124
2,43,6523
2,44,5848
2,45,5236
2,46,4715
2,47,4220
3,0,3351
3,1,3403
3,2,3230
3,3,3179
3,4,3058
3,5,2982
3,6,3054
3,7,3125
3,8,3316
3,9,3660
3,10,4398
3,11,5471
3,12,7159
3,13,9288
3,14,11370
3,15,12796
3,16,12979
3,17,12384
3,18,11706
3,19,11470
3,20,11543
3,21,11596
3,22,11699
3,23,11663
3,24,12570
3,25,12004
3,26,12040
3,27,11598
3,28,11512
3,29,11580
3,30,11746
3,31,11945
3,32,11920
3,33,11857
3,34,12525
3,35,12692
3,36,12492
3,37,11556
3,38,10648
3,39,9486
3,40,8504
3,41,7828
3,42,7229
3,43,6545
3,44,6015
3,45,5383
3,46,4889
3,47,4341
4,0,3414
4,1,3590
4,2,3452
4,3,3285
4,4,3180
4,5,3141
4,6,3189
4,7,3241
4,8,3477
4,9,3865
4,10,4523
4,11,5699
4,12,7393
4,13,9354
4,14,11491
4,15,12948
4,16,13216
4,17,12657
4,18,11787
4,19,11624
4,20,11561
4,21,11626
4,22,11581
4,23,11618
4,24,12608
4,25,12178
4,26,12301
4,27,11893
4,28,11937
4,29,11750
4,30,12077
4,31,12065
4,32,12151
4,33,12136
4,34,13016
4,35,13060
4,36,12687
4,37,11693
4,38,10827
4,39,9882
4,40,9034
4,41,8276
4,42,7634
4,43,6862
4,44,6188
4,45,5617
4,46,4899
4,47,4354
5,0,3421
5,1,3583
5,2,3345
5,3,3203
5,4,3210
5,5,3106
5,6,3171
5,7,3246
5,8,3540
5,9,3881
5,10,4599
5,11,5732
5,12,7452
5,13,9588
5,14,11706
5,15,13097
5,16,13271
5,17,12662
5,18,12003
5,19,11742
5,20,11807
5,21,11889
5,22,11950
5,23,12043
5,24,12833
5,25,12204
5,26,12368
5,27,11964
5,28,11743
5,29,11903
5,30,12259
5,31,12426
5,32,12475
5,33,12694
5,34,13208
5,35,13379
5,36,13120
5,37,12325
5,38,11196
5,39,9986
5,40,9082
5,41,8197
5,42,7553
5,43,7087
5,44,6596
5,45,5995
5,46,5331
5,47,4817
6,0,3829
6,1,3862
6,2,3648
6,3,3440
6,4,3337
6,5,3220
6,6,3156
6,7,3241
6,8,3319
6,9,3583
6,10,3961
6,11,4699
6,12,5845
6,13,7017
6,14,8227
6,15,9173
6,16,9778
6,17,10266
6,18,10464
6,19,10778
6,20,10780
6,21,10932
6,22,11050
6,23,11197
6,24,11409
6,25,11044
6,26,11047
6,27,10591
6,28,10449
6,29,10387
6,30,10614
6,31,10656
6,32,10773
6,33,10846
6,34,11051
6,35,10918
6,36,10355
6,37,9635
6,38,8710
6,39,7959
6,40,7508
6,41,7117
6,42,6917
6,43,6287
6,44,5861
6,45,5277
6,46,4973
6,47,4308
7,0,3371
7,1,3458
7,2,3268
7,3,3089
7,4,3058
7,5,2834
7,6,2774
7,7,2755
7,8,2819
7,9,2964
7,10,3286
7,11,3780
7,12,4472
7,13,5237
7,14,6212
7,15,7004
7,16,7623
7,17,8285
7,18,8835
7,19,9287
7,20,9699
7,21,10037
7,22,10181
7,23,10482
7,24,10497
7,25,10353
7,26,10156
7,27,9994
7,28,9980
7,29,9804
7,30,9772
7,31,9801
7,32,9919
7,33,9832
7,34,9829
7,35,9758
7,36,9194
7,37,8511
7,38,7791
7,39,7245
7,40,6900
7,41,6412
7,42,6058
7,43,5579
7,44,5293
7,45,4836
7,46,4404
7,47,4109
8,0,3323
8,1,3461
8,2,3278
8,3,3155
8,4,3004
8,5,2959
8,6,2984
8,7,3068
8,8,3097
8,9,3486
8,10,3942
8,11,4794
